name,code,index,timezone
Russia,RUS,18,RU
Norway,NOR,21,NO
Greenland,GRL,22,GL
France,FRA,43,FR
Sweden,SWE,110,SE
Belarus,BLR,111,BY
Ukraine,UKR,112,UA
Poland,POL,113,PL
Austria,AUT,114,AT
Hungary,HUN,115,HU
Moldova,MDA,116,MD
Romania,ROU,117,RO
Lithuania,LTU,118,LT
Latvia,LVA,119,LV
Estonia,EST,120,EE
Germany,DEU,121,DE
Bulgaria,BGR,122,BG
Greece,GRC,123,GR
Turkey,TUR,124,TR
Albania,ALB,125,AL
Croatia,HRV,126,HR
Switzerland,CHE,127,CH
Luxembourg,LUX,128,LU
Belgium,BEL,129,BE
Netherlands,NLD,130,NL
Portugal,PRT,131,PT
Spain,ESP,132,ES
Ireland,IRL,133,IE
Italy,ITA,141,IT
Denmark,DNK,142,DK
United Kingdom,GBR,143,GB
Iceland,ISL,144,IS
Slovenia,SVN,150,SI
Finland,FIN,151,FI
Slovakia,SVK,152,SK
Czechia,CZE,153,CZ
N. Cyprus,CYN,160,CY
Cyprus,CYP,161,CY
Bosnia and Herz.,BIH,170,BA
Macedonia,MKD,171,MK
Serbia,SRB,172,RS
Montenegro,MNE,173,ME
Kosovo,KOS,174,AL
